City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,pitimbu,-7.4706,-34.8086,79.39,76,2,7.74,BR,1704672833
85,kargat,55.1956,80.2811,24.67,87,100,19.17,RU,1704672833
86,berlevag,70.8578,29.0864,28.35,64,100,18.41,NO,1704672833
87,cayenne,4.9333,-52.3333,80.64,74,0,5.75,GF,1704672793
88,vao,-22.6667,167.4833,77.36,82,94,15.3,NC,1704672833
89,novyy urengoy,66.0833,76.6333,-6.03,96,100,7.58,RU,1704672833
90,ibra,22.6906,58.5334,64.11,70,15,4.47,OM,1704672834
91,pemangkat,1.1667,108.9667,76.55,89,100,5.91,ID,1704672834
92,ravar,31.2656,56.8055,41.52,40,0,5.12,IR,1704672834
93,shingu,33.7333,135.9833,40.6,53,6,4.99,JP,1704672559
94,turukhansk,65.8167,87.9833,-11.09,94,100,10.02,RU,1704672834
95,svetlyy,54.675,20.1347,10.36,86,77,12.1,RU,1704672835
96,gazanjyk,39.2446,55.5154,47.32,40,6,5.5,TM,1704672835
97,kuli,42.0185,47.2434,34.83,46,100,12.12,RU,1704672835
98,cherskiy,68.75,161.3,-39.75,100,56,5.06,RU,1704672835
99,eureka,40.8021,-124.1637,48.92,79,89,5.01,US,1704672835
100,bambous virieux,-20.3428,57.7575,77.25,88,40,0.0,MU,1704672836
101,sattahip,12.6664,100.9007,79.99,94,6,4.61,TH,1704672836
102,kathmandu,27.7167,85.3167,43.02,87,20,3.44,NP,1704672667
103,mahebourg,-20.4081,57.7,77.29,88,40,0.0,MU,1704672836
104,airai,-8.9266,125.4092,69.98,73,83,0.83,TL,1704672836
105,liverpool,53.4106,-2.9779,38.64,93,75,5.01,GB,1704672836
106,susanville,40.4163,-120.653,33.91,58,100,6.91,US,1704672837
107,bluff,-46.6,168.3333,67.8,66,100,3.33,NZ,1704672837
108,sao filipe,14.8961,-24.4956,75.96,72,1,4.23,CV,1704672837
109,atar,20.5169,-13.0499,67.68,17,0,7.09,MR,1704672837
110,salalah,17.0151,54.0924,71.69,33,0,20.71,OM,1704672837
111,ust-tsilma,65.441,52.1498,-4.4,100,91,4.0,RU,1704672838
112,vardo,70.3705,31.1107,24.78,93,100,28.77,NO,1704672838
113,patabog,13.4531,122.4561,78.67,85,92,10.22,PH,1704672838
114,east london,-33.0153,27.9116,67.46,89,90,3.87,ZA,1704672838
115,vestmannaeyjar,63.4427,-20.2734,46.45,94,100,26.8,IS,1704672838
116,kununurra,-15.7667,128.7333,80.58,83,100,8.05,AU,1704672840
117,ninghai,29.2892,121.4247,41.83,67,100,2.21,CN,1704672840
118,kodiak,57.79,-152.4072,36.91,70,0,3.44,US,1704672840
119,qaanaaq,77.484,-69.3632,-9.2,77,96,7.56,GL,1704672840
120,tutayev,57.8853,39.5406,-9.06,99,80,6.29,RU,1704672841
121,te anau,-45.4167,167.7167,71.1,37,100,4.92,NZ,1704672841
122,tiksi,71.6872,128.8694,-28.75,96,47,7.0,RU,1704672841
123,bredasdorp,-34.5322,20.0403,60.57,78,72,3.44,ZA,1704672841
124,nome,64.5011,-165.4064,25.16,80,75,31.07,US,1704672842
125,ahipara,-35.1667,173.1667,72.82,58,22,6.42,NZ,1704672842
126,pangnirtung,66.1451,-65.7125,-19.26,89,64,5.55,CA,1704672843
127,mackay,-21.15,149.2,84.69,75,100,8.95,AU,1704672843
128,suluq,31.6682,20.2521,57.31,51,24,8.95,LY,1704672843
129,hobart,-42.8794,147.3294,60.66,95,75,14.97,AU,1704672714
130,buta,2.7858,24.73,67.08,46,19,0.45,CD,1704672844
131,laguna,38.421,-121.4238,54.3,51,0,13.8,US,1704672844
132,hue,16.4667,107.6,69.91,94,75,1.14,VN,1704672845
133,stony plain,53.5334,-114.0021,4.51,81,100,2.3,CA,1704672845
134,constitucion,-35.3333,-72.4167,60.66,76,1,16.4,CL,1704672845
135,lebu,-37.6167,-73.65,59.68,81,0,8.1,CL,1704672846
136,bengkulu,-3.8004,102.2655,76.93,85,99,2.86,ID,1704672846
137,karratha,-20.7377,116.8463,93.18,24,4,16.17,AU,1704672846
138,quatre cocos,-20.2078,57.7625,77.11,77,21,7.2,MU,1704672846
139,mecca,21.4267,39.8261,74.16,62,0,0.74,SA,1704672847
140,fort nelson,58.8053,-122.7002,-5.06,82,75,0.0,CA,1704672847
141,fairbanks,64.8378,-147.7164,17.1,78,40,0.0,US,1704672726
142,lagoa,39.05,-27.9833,60.01,68,46,23.31,PT,1704672847
143,geraldton,-28.7667,114.6,81.01,65,2,11.5,AU,1704672848
144,whitehorse,60.7161,-135.0538,0.01,81,75,18.41,CA,1704672848
145,hay river,60.8156,-115.7999,-20.22,76,40,3.44,CA,1704672848
146,sabha,27.0377,14.4283,52.65,24,1,4.88,LY,1704672848
147,cockburn town,21.4612,-71.1419,78.42,77,5,12.35,TC,1704672724
148,luderitz,-26.6481,15.1594,64.38,76,52,26.78,NA,1704672849
149,komsomolskiy,40.4272,71.7189,38.12,87,92,4.61,UZ,1704672849
150,yellowknife,62.456,-114.3525,-28.71,79,75,3.44,CA,1704672850
151,beeville,28.4008,-97.7483,65.62,68,100,13.8,US,1704672850
152,hervey bay,-25.2986,152.8535,84.02,81,73,11.01,AU,1704672850
153,pochutla,15.7432,-96.4661,77.56,69,50,4.81,MX,1704672850
154,keffi,8.8486,7.8736,77.34,17,0,3.74,NG,1704672851
155,danshui,22.7984,114.4672,58.46,79,46,7.29,CN,1704672851
156,evensk,61.95,159.2333,-18.92,78,99,1.48,RU,1704672851
157,tual,-5.6667,132.75,83.86,76,81,11.07,ID,1704672851
158,khorixas,-20.3667,14.9667,75.67,34,65,4.97,NA,1704672851
159,alepe,5.5004,-3.6631,78.67,92,29,2.93,CI,1704672852
160,berlin,52.5244,13.4105,22.15,70,20,11.99,DE,1704672844
161,agadez,19.75,10.25,61.3,21,24,1.12,NE,1704672852
162,elizabeth city,36.2946,-76.2511,51.82,66,100,12.66,US,1704672852
163,araouane,18.9048,-3.5265,70.09,14,100,9.1,ML,1704672853
164,alice springs,-23.7,133.8833,83.75,70,1,10.04,AU,1704672853
165,rawson,-43.3002,-65.1023,76.64,29,87,6.64,AR,1704672853
166,sao jose da coroa grande,-8.8978,-35.1478,78.62,80,0,7.65,BR,1704672853
167,broome,42.2506,-75.833,30.7,93,100,8.05,US,1704672853
168,touros,-5.1989,-35.4608,80.83,75,65,8.5,BR,1704672853
169,srednekolymsk,67.45,153.6833,-24.66,99,96,8.28,RU,1704672854
170,salvador,13.8333,-88.9167,73.8,53,7,1.61,SV,1704672854
171,port alfred,-33.5906,26.891,65.17,95,100,1.99,ZA,1704672812
172,port elizabeth,-33.918,25.5701,66.09,94,75,13.8,ZA,1704672854
173,poso,-1.3959,120.7524,82.92,71,90,1.88,ID,1704672854
174,kaltasy,55.9693,54.8032,-12.95,97,52,10.58,RU,1704672855
175,abu dhabi,24.4667,54.3667,69.94,67,0,2.3,AE,1704672724
176,nagar,27.4333,77.1,44.49,58,0,2.64,IN,1704672855
177,nikolskoye,59.7035,30.7861,8.02,94,15,5.14,RU,1704672855
178,mayo,38.8876,-76.5119,45.99,63,40,11.5,US,1704672856
179,pacific grove,36.6177,-121.9166,56.43,63,0,13.0,US,1704672660
180,pevek,69.7008,170.3133,-19.55,96,100,16.26,RU,1704672751
181,shimanovsk,52.0,127.7,-12.86,94,100,4.32,RU,1704672857
182,liwale,-9.7667,37.9333,67.69,98,92,2.95,TZ,1704672857
183,tuktoyaktuk,69.4541,-133.0374,-20.2,76,100,12.66,CA,1704672857
184,bani,18.2833,-70.3333,75.69,80,10,6.71,DO,1704672857
185,waipawa,-41.4122,175.5153,73.63,43,35,5.32,NZ,1704672858
186,cidreira,-30.1811,-50.2056,74.71,90,96,9.35,BR,1704672858
187,lorengau,-2.0226,147.2712,83.68,77,90,4.59,PG,1704672858
188,manokwari,-0.8667,134.0833,81.75,71,99,0.29,ID,1704672858
189,cartagena,10.3997,-75.5144,82.02,78,0,9.22,CO,1704672813
190,ende,-8.8432,121.6623,84.07,77,62,1.86,ID,1704672859
191,kungsbacka,57.4872,12.0761,16.2,82,7,8.01,SE,1704672859
192,codrington,-38.2667,141.9667,61.86,92,100,16.44,AU,1704672859
193,poum,-20.2333,164.0167,80.6,74,94,7.49,NC,1704672860
194,pombas,17.1503,-25.0201,69.58,71,5,7.78,CV,1704672860
195,port moresby,-9.4431,147.1797,89.02,62,20,5.75,PG,1704672861
196,hofn,64.2539,-15.2082,42.64,92,100,6.15,IS,1704672861
197,oranjemund,-28.55,16.4333,62.42,80,18,20.96,NA,1704672861
198,saint-gabriel,46.3001,-73.3824,17.28,93,100,5.53,CA,1704672861
199,barra do corda,-5.5,-45.25,74.86,97,100,5.91,BR,1704672861
200,angoche,-16.2325,39.9086,77.86,91,97,3.87,MZ,1704672862
201,buala,-8.145,159.5921,84.94,73,69,6.17,SB,1704672862
202,mehamn,71.0357,27.8492,28.31,63,75,20.71,NO,1704672862
203,san patricio,28.017,-97.5169,67.84,67,96,16.13,US,1704672862
204,nenjiang,49.1833,125.2167,-16.4,99,53,4.79,CN,1704672862
205,port macquarie,-31.4333,152.9167,86.9,59,85,14.94,AU,1704672690
206,betioky,-23.7167,44.3833,74.05,89,20,1.32,MG,1704672863
207,kralendijk,12.15,-68.2667,80.58,78,20,14.97,BQ,1704672863
208,karonga,-9.9333,33.9333,74.28,85,100,3.78,MW,1704672863
209,raudeberg,61.9875,5.1352,33.96,65,36,12.55,NO,1704672864
210,carnarvon,-24.8667,113.6333,75.49,77,0,14.0,AU,1704672864
211,preobrazheniye,42.9019,133.9064,7.97,60,2,7.16,RU,1704672746
212,balykshi,47.0667,51.8667,21.2,86,75,15.66,KZ,1704672864
213,havelock,34.8791,-76.9013,51.98,72,0,9.22,US,1704672865
214,sangar,63.9242,127.4739,-45.63,97,50,5.01,RU,1704672865
215,capitao poco,-1.7464,-47.0594,73.8,97,100,3.78,BR,1704672865
216,nitra,48.3076,18.0845,31.64,62,100,11.54,SK,1704672865
217,saint-francois,46.4154,3.9054,35.67,93,100,9.22,FR,1704672866
218,nola,40.922,14.5329,50.92,92,100,1.81,IT,1704672866
219,khatanga,71.9667,102.5,-15.18,98,100,5.99,RU,1704672866
220,haverfordwest,51.8017,-4.9691,35.06,79,10,10.09,GB,1704672637
221,esperance,-33.8667,121.9,67.77,68,13,10.94,AU,1704672866
222,wichian buri,15.6578,101.106,71.2,63,17,2.86,TH,1704672866
223,college,64.8569,-147.8028,13.95,79,100,0.0,US,1704672867
224,faanui,-16.4833,-151.75,81.52,76,46,9.1,PF,1704672867
